id,screen_name,avg_tweets_per_day,posting_rate_consistency,high_volume_flag,bio_length,bio_word_count,bio_lexical_diversity,bio_has_url,bio_hashtag_count,bio_mention_count,bio_exclaim_ratio,bio_sentiment_score,has_description,followers_count,friends_count,follower_friend_ratio,favourites_count,favourites_per_day,account_age_days,verified,default_profile,default_profile_image,geo_enabled,has_location,has_lang,label
1084227842,beliebergirl132,0.036,3.6036036036038444e-05,0,54,8,1.0,1,0,0,0.125,0,1,23,267,0.08614232209737828,247,0.08900900900900902,2775,0,1,0,0,0,1,1
122159370,tlc614,0.862,0.00031313926042486617,0,0,0,0.0,0,0,0,0.0,0,0,61,28,2.1785714285714284,2404,0.6304746918436926,3813,0,1,0,1,1,0,1
39321874,24h_tve,73.106,0.0001452513966597735,1,159,14,0.6153846153846154,1,0,1,0.0,0,1,1437950,935,1537.9144385026739,3617,0.878552343939762,4117,1,0,0,1,0,1,1
949036672741793793,newspaperbot,15.255,3.65726227808949e-05,0,125,15,0.9333333333333333,0,0,2,0.0,0,1,197,7,28.142857142857142,5,0.00522466039707419,957,0,0,0,0,1,1,1
2178679070,kathynickles6,0.774,0.0004836495761001425,0,26,6,1.0,0,0,0,0.16666666666666666,1,1,205,702,0.292022792022792,9557,3.8582963262010495,2477,0,0,0,1,0,1,0
2980315426,Ana63Annick,0.014,0.00020176297747306546,0,54,8,1.0,1,0,0,0.125,0,1,2,0,0.0,199,0.09745347698334966,2042,0,1,0,0,0,1,1
17039652,inchekubi,1.006,0.0004950127580607422,0,45,8,0.875,0,0,0,0.0,0,1,1491,158,9.436708860759493,342,0.07933194154488518,4311,0,0,0,1,0,1,0
1014793793353199617,riphoesay,1.651,0.00022680412371145486,0,5,2,1.0,0,0,0,0.0,0,1,65,114,0.5701754385964912,772,0.9948453608247423,776,0,1,0,0,1,0,0
202375506,followtheh,17.134,5.560189038078533e-07,1,119,20,0.9,0,0,0,0.0,0,1,7235,3115,2.322632423756019,42296,11.758687795385043,3597,0,0,0,1,0,1,0
347865421,HuytotheDang,1.035,0.0001831668180440893,0,13,3,1.0,0,0,0,0.0,0,1,16,0,0.0,2492,0.7544656372994247,3303,0,0,0,0,1,1,1
572785000,a80guglielmi,0.245,0.00012227362855254942,0,0,0,0.0,0,0,0,0.0,0,0,24,57,0.42105263157894735,564,0.18638466622604097,3026,0,1,0,1,0,0,1
4790681969,Oneway107,0.143,0.0004523809523809541,0,42,8,1.0,0,0,0,0.0,0,1,13,106,0.12264150943396226,1047,0.6232142857142857,1680,0,1,0,0,0,1,0
380457314,SamanthaJune666,0.986,0.0001495844875346597,0,91,16,1.0,0,0,0,0.0,0,1,18,0,0.0,2317,0.7131425053862727,3249,0,0,0,0,0,1,1
15729017,Gennefer,12.413,0.0002362974755509839,0,160,24,0.8461538461538461,0,0,1,0.0,0,1,13281,1858,7.148008611410118,51376,11.684330225153515,4397,0,0,0,0,1,1,0
596377986,EU_EDPS,1.538,0.00015394868377205384,0,155,19,0.9047619047619048,1,0,0,0.0,0,1,21046,3025,6.957355371900826,1497,0.49883372209263577,3001,1,0,0,1,1,1,0
711721350,SkylerJeffery,1.042,0.0002909460834181754,0,0,0,0.0,0,0,0,0.0,0,0,7,27,0.25925925925925924,2152,0.7297388945405222,2949,0,0,0,0,0,0,1
326369679,msubtweeter,0.016,0.000421809466746555,0,0,0,0.0,0,0,0,0.0,0,0,4476,568,7.880281690140845,71,0.02127022168963451,3338,0,0,0,1,1,0,1
866648466,tteodoras,25.586,0.00034540389971837726,1,19,4,1.0,0,0,0,0.0,0,1,1064,172,6.186046511627907,3069,1.0685933147632312,2872,0,0,0,1,0,1,1
708759570319953920,vroom_vroom_bot,2.19,0.0004938271604939537,0,80,12,0.9090909090909091,0,0,2,0.0,0,1,31,4,7.75,21,0.012962962962962963,1620,0,1,0,0,0,1,1
722003254716944384,suqichen1978,1.108,4.545454545468175e-05,0,0,0,0.0,0,0,0,0.0,0,0,13,392,0.03316326530612245,1202,0.7588383838383839,1584,0,1,0,0,0,0,1
418,dens,14.233,0.00035168670027196924,0,153,26,0.85,0,0,4,0.0,1,1,84574,2843,29.74815335912768,16665,3.2309034509499805,5158,1,0,0,1,1,1,0
19399072,suny1,0.727,0.0003372781065088537,0,0,0,0.0,0,0,0,0.0,0,0,47,166,0.28313253012048195,2479,0.5867455621301775,4225,0,1,0,0,1,0,1
875782003244892160,poygxvwsrtvrp21,0.356,0.0003416738567730837,0,14,2,1.0,0,0,0,0.0,0,1,1,0,0.0,87,0.07506471095772217,1159,0,1,0,0,0,1,1
734035576068788225,RUMI_0619,0.236,0.00012903225806451535,0,5,1,1.0,0,0,0,0.0,0,1,21,46,0.45652173913043476,942,0.607741935483871,1550,0,1,0,0,1,1,1
816463277643288577,dastud7979,1.38,0.00019652305366602008,0,0,0,0.0,0,0,0,0.0,0,0,56,25,2.24,1301,0.983371126228269,1323,0,1,0,0,1,0,0
611582397,BahayniQuotes,1.628,0.00031903485254680675,0,50,7,1.0,0,0,0,0.0,0,1,68745,0,0.0,250,0.08378016085790885,2984,0,0,0,0,1,1,0
57409991,JoannaLohman,5.371,0.00026635398666918775,0,154,20,0.9545454545454546,0,0,0,0.0,0,1,13893,1506,9.225099601593625,15985,3.945939274253271,4051,1,0,0,1,1,1,0
46662096,LAWTURK,0.124,0.000357405140758868,0,63,12,1.0,0,0,0,0.0,1,1,110,1112,0.09892086330935251,4019,0.9838433292533659,4085,0,0,0,0,1,1,0
101974483,EFMathieu,0.202,0.00037174529517916555,0,155,31,0.9583333333333334,0,1,0,0.0,0,1,1077,2043,0.527165932452276,18353,4.731374065480794,3879,0,0,0,1,1,1,0
2610430435,bigpappapump123,1.169,0.0002444046553267132,0,0,0,0.0,0,0,0,0.0,0,0,356,4412,0.08068902991840435,1861,0.833034914950761,2234,0,0,0,1,0,0,1
38797799,TiwaSavage,9.249,0.00021359223300976282,0,90,9,1.0,0,0,2,0.0,0,1,4254877,2668,1594.7814842578712,607,0.14733009708737865,4120,1,0,0,1,0,1,0
30409200,everywhereist,16.905,0.00025554484088630147,1,123,19,0.9047619047619048,0,0,0,0.0,0,1,103334,576,179.39930555555554,6464,1.558341369334619,4148,1,0,0,0,0,1,0
24117754,Poshy2005,2.575,0.00029327268374412796,0,0,0,0.0,0,0,0,0.0,0,0,171,1049,0.16301239275500476,13883,3.323677280344745,4177,0,1,0,1,1,0,0
